A
t S I R
16.8 67.5767 110.76 221.663
16.9 67.5878 110.756 221.656
17 67.599 110.752 221.649
17.1 67.6102 110.748 221.641
17.2 67.6215 110.744 221.634
17.3 67.6329 110.74 221.627
17.4 67.6443 110.736 221.62
17.5 67.6558 110.732 221.612
17.6 67.6674 110.728 221.605
17.7 67.679 110.724 221.597
17.8 67.6907 110.719 221.59
17.9 67.7025 110.715 221.582
18 67.7144 110.711 221.575
18.1 67.7263 110.707 221.567
18.2 67.7383 110.702 221.559
18.3 67.7503 110.698 221.552
18.4 67.7624 110.694 221.544
18.5 67.7746 110.689 221.536
18.6 67.7869 110.685 221.528
18.7 67.7992 110.681 221.52
18.8 67.8116 110.676 221.512
18.9 67.8241 110.672 221.504
19 67.8366 110.667 221.496
19.1 67.8492 110.663 221.488
19.2 67.8619 110.658 221.48
19.3 67.8746 110.654 221.472
19.4 67.8874 110.649 221.464
19.5 67.9003 110.644 221.455
19.6 67.9133 110.64 221.447
19.7 67.9263 110.635 221.439
19.8 67.9394 110.63 221.43
19.9 67.9525 110.626 221.422
20 67.9658 110.621 221.413
20.1 67.9791 110.616 221.405
20.2 67.9924 110.612 221.396
20.3 68.0059 110.607 221.387
20.4 68.0194 110.602 221.379
20.5 68.033 110.597 221.37
20.6 68.0466 110.592 221.361
20.7 68.0603 110.587 221.352
20.8 68.0741 110.582 221.343
20.9 68.088 110.578 221.335
21 68.1019 110.573 221.326
21.1 68.1159 110.568 221.317
21.2 68.1299 110.563 221.307
21.3 68.1441 110.558 221.298
21.4 68.1583 110.553 221.289
21.5 68.1725 110.547 221.28
21.6 68.1869 110.542 221.271
21.7 68.2013 110.537 221.261
21.8 68.2158 110.532 221.252
21.9 68.2303 110.527 221.243
22 68.245 110.522 221.233
22.1 68.2597 110.517 221.224
22.2 68.2744 110.511 221.214
22.3 68.2893 110.506 221.205
22.4 68.3042 110.501 221.195
22.5 68.3192 110.495 221.185
22.6 68.3342 110.49 221.176
22.7 68.3493 110.485 221.166
22.8 68.3645 110.479 221.156
22.9 68.3798 110.474 221.146
23 68.3951 110.469 221.136
23.1 68.4105 110.463 221.126
