A
t S I R
0.76 94 194 112
0.7625 93 195 112
0.765 94 194 112
0.7675 94 194 112
0.77 93 194 113
0.7725 92 194 114
0.775 91 195 114
0.7775 91 194 115
0.78 91 194 115
0.7825 91 193 116
0.785 91 192 117
0.7875 91 191 118
0.79 91 190 119
0.7925 91 189 120
0.795 90 189 121
0.7975 90 190 120
0.8 90 190 120
0.8025 89 190 121
0.805 89 190 121
0.8075 88 191 121
0.81 87 191 122
0.8125 88 190 122
0.815 88 190 122
0.8175 88 189 123
0.82 88 189 123
0.8225 88 188 124
0.825 88 188 124
0.8275 88 188 124
0.83 89 187 124
0.8325 89 188 123
0.835 89 187 124
0.8375 89 187 124
0.84 89 188 123
0.8425 88 189 123
0.845 88 189 123
0.8475 88 188 124
0.85 88 187 125
0.8525 88 186 126
0.855 88 186 126
0.8575 88 185 127
0.86 88 184 128
0.8625 88 185 127
0.865 88 185 127
0.8675 88 184 128
0.87 88 184 128
0.8725 87 184 129
0.875 87 184 129
0.8775 87 183 130
0.88 86 184 130
0.8825 85 185 130
0.885 84 185 131
0.8875 85 185 130
0.89 84 185 131
0.8925 84 185 131
0.895 83 186 131
0.8975 82 186 132
0.9 81 186 133
0.9025 81 185 134
0.905 81 184 135
0.9075 81 183 136
0.91 80 183 137
0.9125 79 183 138
0.915 80 182 138
0.9175 80 182 138
0.92 80 182 138
0.9225 79 182 139
0.925 78 183 139
0.9275 78 183 139
0.93 79 182 139
0.9325 78 183 139
0.935 78 183 139
0.9375 77 184 139
0.94 77 183 140
0.9425 78 182 140
0.945 79 182 139
0.9475 80 181 139
0.95 80 181 139
0.9525 81 181 138
0.955 81 181 138
0.9575 81 180 139
0.96 80 181 139
0.9625 80 180 140
0.965 80 179 141
0.9675 80 179 141
0.97 79 180 141
0.9725 80 179 141
0.975 80 179 141
0.9775 80 180 140
0.98 80 179 141
0.9825 79 180 141
0.985 79 180 141
0.9875 79 180 141
0.99 79 180 141
0.9925 79 180 141
0.995 78 180 142
0.9975 77 180 143
1 77 180 143
1.0025 77 179 144
1.005 77 179 144
1.0075 77 179 144
1.01 77 179 144
1.0125 77 179 144
1.015 78 179 143
1.0175 78 179 143
1.02 78 179 143
1.0225 77 180 143
1.025 78 179 143
1.0275 77 180 143
1.03 78 179 143
1.0325 78 178 144
1.035 78 178 144
1.0375 77 178 145
1.04 77 177 146
1.0425 77 177 146
1.045 77 177 146
1.0475 77 177 146
1.05 77 176 147
1.0525 77 176 147
1.055 77 176 147
1.0575 77 175 148
1.06 77 174 149
1.0625 77 173 150
1.065 76 173 151
1.0675 76 172 152
1.07 76 171 153
1.0725 77 171 152
1.075 77 170 153
1.0775 77 169 154
1.08 77 170 153
1.0825 76 171 153
1.085 76 170 154
1.0875 77 170 153
1.09 78 169 153
1.0925 78 169 153
1.095 78 168 154
1.0975 79 167 154
1.1 78 168 154
1.1025 78 169 153
1.105 78 168 154
1.1075 77 169 154
1.11 76 170 154
1.1125 76 169 155
1.115 76 169 155
1.1175 76 169 155
1.12 76 169 155
1.1225 76 168 156
1.125 76 168 156
1.1275 76 167 157
1.13 76 167 157
1.1325 75 168 157
1.135 74 169 157
1.1375 74 169 157
1.14 74 169 157
1.1425 74 169 157
1.145 74 169 157
1.1475 74 168 158
1.15 74 168 158
1.1525 74 167 159
1.155 74 167 159
1.1575 74 166 160
1.16 75 165 160
1.1625 75 165 160
1.165 74 166 160
1.1675 74 166 160
1.17 73 166 161
1.1725 73 166 161
1.175 73 166 161
1.1775 73 166 161
1.18 74 166 160
1.1825 73 167 160
1.185 72 167 161
1.1875 72 167 161
1.19 72 166 162
1.1925 72 165 163
1.195 71 166 163
1.1975 71 166 163
1.2 72 166 162
1.2025 71 167 162
1.205 71 166 163
1.2075 71 166 163
1.21 71 166 163
1.2125 71 165 164
1.215 71 165 164
1.2175 71 166 163
1.22 71 166 163
1.2225 70 166 164
1.225 70 165 165
1.2275 70 164 166
1.23 69 165 166
1.2325 68 165 167
1.235 69 164 167
1.2375 69 164 167
1.24 69 163 168
1.2425 68 163 169
1.245 69 162 169
1.2475 69 162 169
1.25 68 163 169
1.2525 68 162 170
1.255 68 162 170
1.2575 68 162 170
1.26 67 163 170
1.2625 66 163 171
1.265 66 163 171
1.2675 66 163 171
1.27 66 162 172
1.2725 66 162 172
1.275 66 162 172
1.2775 65 163 172
1.28 64 164 172
1.2825 64 165 171
1.285 64 165 171
1.2875 63 166 171
1.29 62 167 171
1.2925 62 167 171
1.295 62 166 172
1.2975 62 165 173
1.3 63 164 173
1.3025 63 164 173
1.305 62 164 174
1.3075 62 163 175
1.31 62 162 176
1.3125 62 161 177
1.315 63 160 177
1.3175 62 160 178
1.32 63 159 178
1.3225 63 159 178
1.325 64 158 178
1.3275 64 157 179
1.33 63 158 179
1.3325 63 157 180
1.335 63 157 180
1.3375 63 157 180
1.34 63 157 180
1.3425 63 157 180
1.345 63 156 181
1.3475 63 155 182
1.35 63 154 183
1.3525 63 154 183
1.355 62 155 183
1.3575 62 154 184
1.36 61 154 185
1.3625 61 153 186
1.365 61 153 186
1.3675 60 153 187
1.37 60 153 187
1.3725 60 152 188
1.375 60 151 189
1.3775 60 151 189
1.38 60 151 189
1.3825 60 151 189
1.385 60 151 189
1.3875 60 150 190
1.39 60 149 191
1.3925 61 149 190
1.395 61 148 191
1.3975 62 148 190
1.4 63 148 189
1.4025 63 147 190
1.405 63 146 191
1.4075 62 146 192
1.41 63 146 191
1.4125 63 146 191
1.415 62 147 191
1.4175 62 147 191
1.42 62 147 191
1.4225 61 148 191
1.425 61 148 191
1.4275 62 148 190
1.43 62 147 191
1.4325 62 147 191
1.435 63 146 191
1.4375 63 145 192
1.44 63 144 193
1.4425 63 144 193
1.445 62 145 193
1.4475 62 144 194
1.45 62 144 194
1.4525 63 144 193
1.455 64 143 193
1.4575 65 142 193
1.46 65 141 194
1.4625 64 142 194
1.465 65 141 194
1.4675 65 140 195
1.47 65 140 195
1.4725 65 140 195
1.475 65 139 196
1.4775 65 138 197
1.48 64 139 197
1.4825 64 139 197
1.485 64 139 197
1.4875 64 139 197
1.49 64 138 198
1.4925 64 137 199
1.495 65 136 199
1.4975 65 135 200
1.5 65 135 200
1.5025 64 136 200
1.505 63 137 200
1.5075 64 136 200
1.51 64 136 200
1.5125 64 136 200
1.515 64 137 199
1.5175 64 136 200
1.52 64 135 201
1.5225 64 134 202
1.525 64 134 202
1.5275 64 134 202
1.53 63 134 203
1.5325 63 134 203
1.535 63 134 203
1.5375 63 134 203
1.54 63 134 203
1.5425 63 134 203
1.545 63 135 202
1.5475 63 134 203
1.55 63 134 203
1.5525 63 134 203
1.555 63 133 204
1.5575 63 133 204
1.56 63 133 204
1.5625 63 132 205
1.565 62 133 205
1.5675 63 133 204
1.57 64 133 203
1.5725 64 133 203
1.575 64 133 203
1.5775 65 133 202
1.58 65 133 202
1.5825 66 132 202
1.585 67 131 202
1.5875 67 131 202
1.59 66 132 202
1.5925 66 131 203
1.595 67 131 202
1.5975 67 131 202
1.6 68 130 202
1.6025 68 130 202
1.605 68 130 202
1.6075 68 130 202
1.61 68 130 202
1.6125 68 129 203
1.615 68 128 204
1.6175 69 128 203
1.62 70 128 202
1.6225 69 128 203
1.625 68 128 204
1.6275 67 128 205
1.63 67 128 205
1.6325 68 128 204
1.635 67 128 205
1.6375 68 128 204
1.64 67 128 205
1.6425 68 127 205
1.645 68 126 206
1.6475 68 125 207
1.65 68 124 208
1.6525 68 123 209
1.655 69 122 209
1.6575 69 122 209
1.66 68 123 209
1.6625 68 122 210
1.665 68 122 210
1.6675 69 122 209
1.67 69 123 208
1.6725 69 123 208
1.675 69 122 209
1.6775 69 121 210
1.68 70 120 210
1.6825 71 120 209
1.685 71 119 210
1.6875 70 120 210
1.69 70 120 210
1.6925 71 120 209
1.695 71 120 209
1.6975 72 120 208
1.7 72 121 207
1.7025 72 122 206
1.705 72 122 206
1.7075 72 123 205
1.71 73 123 204
1.7125 74 123 203
1.715 74 123 203
1.7175 74 123 203
1.72 74 123 203
1.7225 74 124 202
1.725 74 124 202
1.7275 74 124 202
1.73 75 124 201
1.7325 76 124 200
1.735 76 124 200
1.7375 76 124 200
1.74 75 125 200
1.7425 74 126 200
1.745 75 126 199
1.7475 76 126 198
1.75 76 126 198
1.7525 77 125 198
1.755 78 125 197
1.7575 77 126 197
1.76 77 126 197
1.7625 77 125 198
1.765 78 125 197
1.7675 78 125 197
1.77 79 125 196
1.7725 79 126 195
1.775 79 127 194
1.7775 79 127 194
1.78 79 127 194
1.7825 79 127 194
1.785 78 128 194
1.7875 77 129 194
1.79 78 128 194
1.7925 78 128 194
1.795 78 128 194
1.7975 78 128 194
1.8 79 128 193
1.8025 80 128 192
1.805 80 129 191
1.8075 81 129 190
1.81 81 129 190
1.8125 81 129 190
1.815 81 129 190
1.8175 82 128 190
1.82 82 127 191
1.8225 83 127 190
1.825 82 128 190
1.8275 82 127 191
1.83 82 127 191
1.8325 82 127 191
1.835 82 127 191
1.8375 81 128 191
1.84 81 128 191
1.8425 81 128 191
1.845 81 129 190
1.8475 80 130 190
1.85 81 130 189
1.8525 80 130 190
1.855 81 129 190
1.8575 81 129 190
1.86 80 130 190
1.8625 79 131 190
1.865 79 132 189
1.8675 78 133 189
1.87 79 132 189
1.8725 78 133 189
1.875 78 133 189
1.8775 78 133 189
1.88 77 134 189
1.8825 78 134 188
1.885 78 133 189
1.8875 79 132 189
1.89 78 133 189
1.8925 78 132 190
1.895 78 132 190
1.8975 78 131 191
1.9 78 131 191
1.9025 78 130 192
1.905 78 129 193
1.9075 78 128 194
1.91 78 128 194
1.9125 77 129 194
1.915 76 130 194
1.9175 75 131 194
1.92 76 131 193
1.9225 75 131 194
1.925 74 132 194
1.9275 74 132 194
1.93 74 132 194
1.9325 73 133 194
1.935 73 133 194
1.9375 73 132 195
1.94 74 131 195
1.9425 74 132 194
1.945 74 132 194
1.9475 74 132 194
1.95 74 131 195
1.9525 74 131 195
1.955 74 131 195
1.9575 74 131 195
1.96 74 131 195
1.9625 74 131 195
1.965 74 131 195
1.9675 74 131 195
1.97 75 131 194
1.9725 75 131 194
1.975 76 130 194
1.9775 75 131 194
1.98 75 131 194
1.9825 75 131 194
1.985 74 131 195
1.9875 74 130 196
1.99 74 130 196
1.9925 74 131 195
1.995 74 131 195
1.9975 75 131 194
2 75 131 194
2.0025 75 131 194
2.005 75 131 194
2.0075 75 130 195
2.01 76 130 194
2.0125 76 130 194
2.015 76 130 194
2.0175 76 130 194
2.02 76 130 194
2.0225 75 130 195
2.025 75 130 195
2.0275 75 130 195
2.03 74 130 196
2.0325 75 129 196
2.035 75 129 196
2.0375 75 129 196
2.04 75 129 196
2.0425 74 130 196
2.045 74 130 196
2.0475 74 130 196
2.05 74 130 196
2.0525 74 130 196
2.055 74 130 196
2.0575 73 130 197
2.06 72 131 197
2.0625 72 130 198
2.065 73 129 198
2.0675 73 129 198
2.07 73 129 198
2.0725 74 129 197
2.075 73 129 198
2.0775 73 129 198
2.08 73 128 199
2.0825 73 127 200
2.085 72 128 200
2.0875 72 128 200
2.09 71 129 200
2.0925 71 129 200
2.095 71 129 200
2.0975 71 129 200
2.1 71 128 201
2.1025 71 127 202
2.105 71 127 202
2.1075 71 127 202
2.11 70 128 202
2.1125 69 129 202
2.115 69 129 202
2.1175 69 129 202
2.12 69 129 202
2.1225 69 129 202
2.125 68 129 203
2.1275 68 129 203
2.13 68 129 203
2.1325 68 128 204
2.135 67 129 204
2.1375 67 129 204
2.14 67 129 204
2.1425 66 129 205
2.145 66 128 206
2.1475 65 129 206
2.15 64 130 206
