A
t S I R
0.76 103 201 96
0.7625 102 201 97
0.765 101 202 97
0.7675 100 203 97
0.77 99 203 98
0.7725 98 203 99
0.775 97 203 100
0.7775 96 204 100
0.78 96 204 100
0.7825 95 204 101
0.785 94 205 101
0.7875 94 204 102
0.79 93 204 103
0.7925 92 204 104
0.795 91 205 104
0.7975 90 206 104
0.8 90 207 103
0.8025 89 208 103
0.805 89 208 103
0.8075 88 209 103
0.81 88 209 103
0.8125 88 208 104
0.815 87 209 104
0.8175 87 209 104
0.82 87 209 104
0.8225 87 208 105
0.825 86 209 105
0.8275 85 209 106
0.83 86 208 106
0.8325 85 208 107
0.835 86 207 107
0.8375 86 207 107
0.84 85 207 108
0.8425 85 206 109
0.845 85 207 108
0.8475 85 207 108
0.85 85 208 107
0.8525 85 207 108
0.855 84 207 109
0.8575 84 207 109
0.86 83 208 109
0.8625 83 208 109
0.865 84 208 108
0.8675 83 208 109
0.87 83 209 108
0.8725 84 208 108
0.875 84 208 108
0.8775 83 208 109
0.88 82 208 110
0.8825 81 208 111
0.885 81 209 110
0.8875 81 208 111
0.89 81 209 110
0.8925 81 208 111
0.895 81 208 111
0.8975 81 208 111
0.9 81 208 111
0.9025 82 207 111
0.905 82 207 111
0.9075 81 208 111
0.91 81 208 111
0.9125 80 208 112
0.915 80 207 113
0.9175 80 207 113
0.92 79 208 113
0.9225 78 209 113
0.925 78 209 113
0.9275 78 209 113
0.93 78 209 113
0.9325 78 208 114
0.935 77 208 115
0.9375 76 208 116
0.94 77 208 115
0.9425 76 209 115
0.945 76 208 116
0.9475 75 209 116
0.95 75 209 116
0.9525 74 209 117
0.955 74 209 117
0.9575 74 209 117
0.96 74 208 118
0.9625 74 208 118
0.965 74 207 119
0.9675 74 207 119
0.97 74 207 119
0.9725 74 207 119
0.975 73 208 119
0.9775 72 209 119
0.98 71 209 120
0.9825 71 209 120
0.985 70 210 120
0.9875 70 210 120
0.99 70 209 121
0.9925 69 209 122
0.995 69 208 123
0.9975 68 208 124
1 68 207 125
1.0025 68 207 125
1.005 67 208 125
1.0075 67 207 126
1.01 67 207 126
1.0125 67 206 127
1.015 67 206 127
1.0175 66 206 128
1.02 66 205 129
1.0225 66 205 129
1.025 65 205 130
1.0275 64 206 130
1.03 64 205 131
1.0325 63 205 132
1.035 63 204 133
1.0375 63 204 133
1.04 63 203 134
1.0425 64 202 134
1.045 63 202 135
1.0475 62 202 136
1.05 63 202 135
1.0525 63 201 136
1.055 64 200 136
1.0575 64 200 136
1.06 64 201 135
1.0625 64 201 135
1.065 65 201 134
1.0675 64 202 134
1.07 64 201 135
1.0725 65 200 135
1.075 64 200 136
1.0775 64 199 137
1.08 64 198 138
1.0825 63 199 138
1.085 63 199 138
1.0875 63 199 138
1.09 63 198 139
1.0925 63 198 139
1.095 63 197 140
1.0975 62 197 141
1.1 61 198 141
1.1025 61 198 141
1.105 61 197 142
1.1075 61 198 141
1.11 61 197 142
1.1125 60 198 142
1.115 60 197 143
1.1175 60 197 143
1.12 60 196 144
1.1225 59 196 145
1.125 59 196 145
1.1275 59 196 145
1.13 58 196 146
1.1325 58 195 147
1.135 58 195 147
1.1375 57 196 147
1.14 57 196 147
1.1425 57 196 147
1.145 57 195 148
1.1475 57 195 148
1.15 57 195 148
1.1525 57 195 148
1.155 56 196 148
1.1575 56 196 148
1.16 56 195 149
1.1625 57 195 148
1.165 57 195 148
1.1675 57 195 148
1.17 57 194 149
1.1725 57 194 149
1.175 56 195 149
1.1775 56 195 149
1.18 56 195 149
1.1825 57 195 148
1.185 57 195 148
1.1875 56 195 149
1.19 56 195 149
1.1925 55 195 150
1.195 55 194 151
1.1975 55 195 150
1.2 55 194 151
1.2025 54 195 151
1.205 55 195 150
1.2075 55 194 151
1.21 54 195 151
1.2125 53 195 152
1.215 53 195 152
1.2175 53 194 153
1.22 52 195 153
1.2225 52 194 154
1.225 52 194 154
1.2275 52 193 155
1.23 52 192 156
1.2325 52 191 157
1.235 52 191 157
1.2375 53 190 157
1.24 53 189 158
1.2425 53 189 158
1.245 53 188 159
1.2475 53 188 159
1.25 53 188 159
1.2525 54 188 158
1.255 55 187 158
1.2575 55 187 158
1.26 55 186 159
1.2625 55 185 160
1.265 56 184 160
1.2675 56 184 160
1.27 56 184 160
1.2725 56 184 160
1.275 56 184 160
1.2775 56 183 161
1.28 55 183 162
1.2825 56 183 161
1.285 56 183 161
1.2875 56 183 161
1.29 56 182 162
1.2925 55 183 162
1.295 55 182 163
1.2975 56 182 162
1.3 56 183 161
1.3025 55 184 161
1.305 55 184 161
1.3075 55 183 162
1.31 55 184 161
1.3125 55 183 162
1.315 54 184 162
1.3175 54 183 163
1.32 54 182 164
1.3225 54 183 163
1.325 54 182 164
1.3275 55 181 164
1.33 56 181 163
1.3325 55 181 164
1.335 54 182 164
1.3375 53 183 164
1.34 53 183 164
1.3425 53 182 165
1.345 53 182 165
1.3475 53 181 166
1.35 53 181 166
1.3525 53 180 167
1.355 53 180 167
1.3575 54 180 166
1.36 54 179 167
1.3625 53 180 167
1.365 53 179 168
1.3675 54 179 167
1.37 54 178 168
1.3725 53 178 169
1.375 53 178 169
1.3775 53 177 170
1.38 52 177 171
1.3825 53 176 171
1.385 54 176 170
1.3875 54 176 170
1.39 54 176 170
1.3925 54 177 169
1.395 54 177 169
1.3975 55 176 169
1.4 55 175 170
1.4025 54 175 171
1.405 54 174 172
1.4075 54 174 172
1.41 54 173 173
1.4125 54 173 173
1.415 54 173 173
1.4175 55 173 172
1.42 54 173 173
1.4225 53 173 174
1.425 53 173 174
1.4275 54 172 174
1.43 55 172 173
1.4325 56 172 172
1.435 56 172 172
1.4375 57 172 171
1.44 57 172 171
1.4425 56 173 171
1.445 56 173 171
1.4475 56 172 172
1.45 56 172 172
1.4525 56 171 173
1.455 57 170 173
1.4575 57 170 173
1.46 56 171 173
1.4625 56 170 174
1.465 56 169 175
1.4675 56 168 176
1.47 56 168 176
1.4725 56 167 177
1.475 56 166 178
1.4775 56 165 179
1.48 56 165 179
1.4825 56 165 179
1.485 55 165 180
1.4875 55 165 180
1.49 56 165 179
1.4925 55 165 180
1.495 55 165 180
1.4975 55 165 180
1.5 54 166 180
1.5025 54 165 181
