A
t S I R
20 101.36 114.948 224.624
20.1 101.359 115.012 224.753
20.2 101.358 115.077 224.882
20.3 101.357 115.141 225.01
20.4 101.357 115.205 225.139
20.5 101.356 115.269 225.267
20.6 101.355 115.333 225.396
20.7 101.355 115.397 225.524
20.8 101.354 115.461 225.652
20.9 101.353 115.525 225.78
21 101.353 115.589 225.908
21.1 101.352 115.653 226.036
21.2 101.351 115.717 226.164
21.3 101.351 115.781 226.292
21.4 101.35 115.844 226.42
21.5 101.349 115.908 226.547
21.6 101.349 115.972 226.675
21.7 101.348 116.035 226.802
21.8 101.347 116.099 226.93
21.9 101.347 116.163 227.057
22 101.346 116.226 227.184
22.1 101.345 116.29 227.311
22.2 101.345 116.353 227.438
22.3 101.344 116.416 227.565
22.4 101.343 116.48 227.692
22.5 101.343 116.543 227.819
22.6 101.342 116.606 227.945
22.7 101.341 116.669 228.072
22.8 101.341 116.733 228.198
22.9 101.34 116.796 228.325
23 101.339 116.859 228.451
23.1 101.339 116.922 228.577
23.2 101.338 116.985 228.704
23.3 101.337 117.048 228.83
23.4 101.337 117.111 228.956
23.5 101.336 117.174 229.082
23.6 101.336 117.236 229.207
23.7 101.335 117.299 229.333
23.8 101.334 117.362 229.459
23.9 101.334 117.425 229.584
24 101.333 117.487 229.71
24.1 101.332 117.55 229.835
24.2 101.332 117.613 229.961
24.3 101.331 117.675 230.086
24.4 101.33 117.738 230.211
24.5 101.33 117.8 230.336
24.6 101.329 117.862 230.461
24.7 101.328 117.925 230.586
24.8 101.328 117.987 230.711
24.9 101.327 118.049 230.836
25 101.327 118.112 230.96
25.1 101.326 118.174 231.085
25.2 101.325 118.236 231.209
25.3 101.325 118.298 231.334
25.4 101.324 118.36 231.458
25.5 101.323 118.422 231.582
25.6 101.323 118.484 231.706
25.7 101.322 118.546 231.83
25.8 101.322 118.608 231.954
25.9 101.321 118.67 232.078
26 101.32 118.732 232.202
26.1 101.32 118.793 232.326
26.2 101.319 118.855 232.45
26.3 101.318 118.917 232.573
26.4 101.318 118.979 232.697
26.5 101.317 119.04 232.82
26.6 101.317 119.102 232.943
26.7 101.316 119.163 233.067
26.8 101.315 119.225 233.19
26.9 101.315 119.286 233.313
27 101.314 119.348 233.436
27.1 101.314 119.409 233.559
27.2 101.313 119.47 233.682
27.3 101.312 119.532 233.804
27.4 101.312 119.593 233.927
27.5 101.311 119.654 234.05
27.6 101.311 119.715 234.172
27.7 101.31 119.776 234.295
27.8 101.309 119.837 234.417
27.9 101.309 119.899 234.539
28 101.308 119.96 234.661
28.1 101.308 120.02 234.783
28.2 101.307 120.081 234.905
28.3 101.306 120.142 235.027
28.4 101.306 120.203 235.149
28.5 101.305 120.264 235.271
28.6 101.305 120.325 235.393
28.7 101.304 120.385 235.514
28.8 101.303 120.446 235.636
28.9 101.303 120.507 235.757
29 101.302 120.567 235.878
29.1 101.302 120.628 236
29.2 101.301 120.688 236.121
29.3 101.3 120.749 236.242
29.4 101.3 120.809 236.363
29.5 101.299 120.87 236.484
29.6 101.299 120.93 236.605
29.7 101.298 120.99 236.726
